dbms,schema_config,query_id,framework,overhead_pct,log_ratio,n_blocks
PostgreSQL,indexed,Q01,django,0.04,0.0004,8
PostgreSQL,indexed,Q01,sqlalchemy,0.07,0.0007,8
PostgreSQL,indexed,Q02,django,-30.22,-0.3598,8
PostgreSQL,indexed,Q02,sqlalchemy,1.0,0.01,8
PostgreSQL,indexed,Q03,django,0.15,0.0015,8
PostgreSQL,indexed,Q03,sqlalchemy,0.04,0.0004,8
PostgreSQL,indexed,Q04,django,4.98,0.0486,8
PostgreSQL,indexed,Q04,sqlalchemy,0.03,0.0003,8
PostgreSQL,indexed,Q05,django,0.55,0.0054,8
PostgreSQL,indexed,Q05,sqlalchemy,0.67,0.0067,8
PostgreSQL,indexed,Q06,django,0.59,0.0059,8
PostgreSQL,indexed,Q06,sqlalchemy,0.48,0.0048,8
PostgreSQL,indexed,Q07,django,0.29,0.0029,8
PostgreSQL,indexed,Q07,sqlalchemy,0.74,0.0073,8
PostgreSQL,indexed,Q08,django,1.94,0.0192,8
PostgreSQL,indexed,Q08,sqlalchemy,0.76,0.0076,8
PostgreSQL,indexed,Q09,django,5.95,0.0578,8
PostgreSQL,indexed,Q09,sqlalchemy,0.09,0.0009,8
PostgreSQL,indexed,Q10,django,4.94,0.0482,8
PostgreSQL,indexed,Q10,sqlalchemy,-0.03,-0.0003,8
PostgreSQL,indexed,Q11,django,2.68,0.0264,8
PostgreSQL,indexed,Q11,sqlalchemy,3.34,0.0328,8
PostgreSQL,indexed,Q12,django,0.39,0.0039,8
PostgreSQL,indexed,Q12,sqlalchemy,0.16,0.0016,8
PostgreSQL,indexed,Q13,django,79.84,0.5869,8
PostgreSQL,indexed,Q13,sqlalchemy,0.06,0.0006,8
PostgreSQL,indexed,Q14,django,0.88,0.0088,8
PostgreSQL,indexed,Q14,sqlalchemy,0.68,0.0068,8
PostgreSQL,indexed,Q15,django,92.45,0.6547,8
PostgreSQL,indexed,Q15,sqlalchemy,0.17,0.0017,8
PostgreSQL,indexed,Q16,django,0.82,0.0082,8
PostgreSQL,indexed,Q16,sqlalchemy,2.48,0.0245,8
PostgreSQL,indexed,Q17,django,-58.4,-0.877,8
PostgreSQL,indexed,Q17,sqlalchemy,0.4,0.004,8
PostgreSQL,indexed,Q18,django,0.1,0.001,8
PostgreSQL,indexed,Q18,sqlalchemy,0.24,0.0024,8
