system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
oracle,indexed,Q12,django,-0.9639602792680779,-61.86204781329161,1.073456,0.4089025,2,8
oracle,indexed,Q12,sqlalchemy,-0.9860845428182188,-62.69655643485363,1.0729385,0.3999975,2,8
oracle,indexed,Q13,sqlalchemy,-0.021803782629618927,-2.15677983892964,1.336064,1.306702,42,8
oracle,indexed,Q14,django,0.0140948327548539,1.4194633249211916,0.7451105,0.758391,1,8
oracle,indexed,Q14,sqlalchemy,0.005698939631793796,0.5715209480535494,0.7475205,0.7535945,1,8
oracle,indexed,Q15,django,0.7264547478881578,106.77369490199536,0.7701915,1.6315214999999998,1,8
oracle,indexed,Q15,sqlalchemy,0.9004519815143541,146.0715057566522,0.7687269999999999,1.933506,1,8
oracle,indexed,Q16,django,0.07684506453150705,7.9874752530037565,0.3546245,0.37957399999999997,18374,8
oracle,indexed,Q16,sqlalchemy,0.15306116984883344,16.53962638757637,0.3609525,0.41958249999999997,18374,8
oracle,indexed,Q17,django,0.1426942182220912,15.337706604884113,0.046522999999999995,0.053681,1,8
oracle,indexed,Q17,sqlalchemy,0.05754310968428938,5.923093278158697,0.046702999999999995,0.0494275,1,8
oracle,indexed,Q18,django,0.01508084445061032,1.5195134191125363,2.270468,2.303058,57,8
oracle,indexed,Q18,sqlalchemy,0.001496846095155398,0.14979669284402328,2.2725705,2.2746645,57,8
oracle,indexed,Q19,django,0.05448176929713201,5.599322473952879,0.09317500000000001,0.09912699999999999,1,8
oracle,indexed,Q19,sqlalchemy,0.04674464289690222,4.785439784939247,0.09304,0.098412,1,8
oracle,indexed,Q20,django,-1.4440545834190304,-76.4030939804856,0.8722295,0.206575,201,8
oracle,indexed,Q20,sqlalchemy,0.0009216964236059348,0.09221213162852393,0.8672555,0.8675820000000001,201,8
oracle,indexed,Q21,django,-0.12288567186464835,-11.563523544418818,3.1387099999999997,2.6261235,100,8
oracle,indexed,Q21,sqlalchemy,0.0032680001186569173,0.3273345852745012,2.94297,3.070214,100,8
oracle,indexed,Q22,django,0.3816686130998614,46.47266134859369,0.21531450000000002,0.31537499999999996,7,8
oracle,indexed,Q22,sqlalchemy,0.016270550917551863,1.6403637146827923,0.2166765,0.2202305,7,8
oracle,non-indexed,Q01,django,0.11977391925028079,12.724197505828766,4.192701,4.7261805,4,8
oracle,non-indexed,Q01,sqlalchemy,0.15293109974322244,16.52446905184377,4.0592345000000005,4.714839,4,8
oracle,non-indexed,Q02,django,1.1774380051895,224.60471845141265,0.032764,0.1048985,100,8
oracle,non-indexed,Q02,sqlalchemy,0.38219808416186557,46.55023491882057,0.03301,0.048424999999999996,100,8
