benchmark,orm,query_id,query_name,dbms,schema_config,scale_factor,direct_sql_execution_s,total_orm_execution_s,overhead_percentage,rows_returned,sql_status,orm_status,status_note,campaign_id
tpch,DJANGO,Q10,Returned Item Reporting,Commercial System A,Non-Indexed,1,3.632193,3.652172,1.45,20,ok,ok,,sf1
tpch,SQLALCHEMY,Q10,Returned Item Reporting,Commercial System A,Non-Indexed,1,3.625143,3.719773,0.94,20,ok,ok,,sf1
tpch,DJANGO,Q11,Important Stock Identification,Commercial System A,Non-Indexed,1,0.28479,0.286458,0.64,1048,ok,ok,,sf1
tpch,SQLALCHEMY,Q11,Important Stock Identification,Commercial System A,Non-Indexed,1,0.283487,0.287359,1.37,1048,ok,ok,,sf1
tpch,DJANGO,Q12,Shipping Modes and Order Priority,Commercial System A,Non-Indexed,1,3.578346,3.617467,1.74,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q12,Shipping Modes and Order Priority,Commercial System A,Non-Indexed,1,3.574848,3.754023,2.06,2,ok,ok,,sf1
tpch,DJANGO,Q13,Customer Distribution,Commercial System A,Non-Indexed,1,0.839233,,,,ok,not_expressible,not expressible in this ORM on this vendor (C17),sf1
tpch,SQLALCHEMY,Q13,Customer Distribution,Commercial System A,Non-Indexed,1,0.83709,2.059781,137.93,42,ok,ok,,sf1
tpch,DJANGO,Q14,Promotion Effect,Commercial System A,Non-Indexed,1,3.25421,3.210376,-3.12,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q14,Promotion Effect,Commercial System A,Non-Indexed,1,3.200422,3.319673,6.73,1,ok,ok,,sf1
tpch,DJANGO,Q15,Top Supplier,Commercial System A,Non-Indexed,1,2.858674,5.983802,111.74,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q15,Top Supplier,Commercial System A,Non-Indexed,1,2.988427,6.511101,118.16,1,ok,ok,,sf1
tpch,DJANGO,Q16,Parts/Supplier Relationship,Commercial System A,Non-Indexed,1,0.462395,0.586448,27.21,18314,ok,ok,,sf1
tpch,SQLALCHEMY,Q16,Parts/Supplier Relationship,Commercial System A,Non-Indexed,1,0.495941,0.539426,8.61,18314,ok,ok,,sf1
tpch,DJANGO,Q17,Small-Quantity-Order Revenue,Commercial System A,Non-Indexed,1,3.099281,5.8437,94.09,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q17,Small-Quantity-Order Revenue,Commercial System A,Non-Indexed,1,2.932822,5.908669,92.44,1,ok,ok,,sf1
tpch,DJANGO,Q18,Large Volume Customer,Commercial System A,Non-Indexed,1,3.183051,3.862845,13.82,57,ok,ok,,sf1
tpch,SQLALCHEMY,Q18,Large Volume Customer,Commercial System A,Non-Indexed,1,3.159434,3.169175,-0.15,57,ok,ok,,sf1
tpch,DJANGO,Q19,Discounted Revenue,Commercial System A,Non-Indexed,1,0.967199,1.068564,10.41,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q19,Discounted Revenue,Commercial System A,Non-Indexed,1,0.960926,0.981719,2.2,1,ok,ok,,sf1
tpch,DJANGO,Q20,Potential Part Promotion,Commercial System A,Non-Indexed,1,0.917461,0.950292,3.5,186,ok,ok,,sf1
tpch,SQLALCHEMY,Q20,Potential Part Promotion,Commercial System A,Non-Indexed,1,0.910529,0.916177,0.69,186,ok,ok,,sf1
tpch,DJANGO,Q21,Suppliers Who Kept Orders Waiting,Commercial System A,Non-Indexed,1,3.025008,52.259106,1620.11,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q21,Suppliers Who Kept Orders Waiting,Commercial System A,Non-Indexed,1,3.001252,3.021375,0.56,100,ok,ok,,sf1
tpch,DJANGO,Q22,Global Sales Opportunity,Commercial System A,Non-Indexed,1,0.543686,7.81275,1339.77,7,ok,ok,,sf1
tpch,SQLALCHEMY,Q22,Global Sales Opportunity,Commercial System A,Non-Indexed,1,0.542428,0.854406,57.62,7,ok,ok,,sf1
tpcc,DJANGO,T1,New-Order,Commercial System A,Non-Indexed,1,0.042652,0.107321,151.62,1,ok,ok,"drift: new_order +16, order +16, order_line +186 | drift: new_order +16, order +16, order_line +186",sf1
tpcc,SQLALCHEMY,T1,New-Order,Commercial System A,Non-Indexed,1,0.054205,0.090929,67.75,1,ok,ok,"drift: new_order +16, order +16, order_line +186 | drift: new_order +16, order +16, order_line +186",sf1
tpcc,DJANGO,T2,Payment,Commercial System A,Non-Indexed,1,0.010337,0.022369,116.4,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,SQLALCHEMY,T2,Payment,Commercial System A,Non-Indexed,1,0.010437,0.026095,150.02,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,DJANGO,T3,Order-Status,Commercial System A,Non-Indexed,1,0.006444,0.010977,70.34,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T3,Order-Status,Commercial System A,Non-Indexed,1,0.003965,0.00847,113.62,1,ok,ok,,sf1
tpcc,DJANGO,T4,Delivery,Commercial System A,Non-Indexed,1,0.062952,0.15581,147.51,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,SQLALCHEMY,T4,Delivery,Commercial System A,Non-Indexed,1,0.076468,0.202116,164.31,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,DJANGO,T5,Stock-Level,Commercial System A,Non-Indexed,1,0.186012,0.173086,-6.95,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T5,Stock-Level,Commercial System A,Non-Indexed,1,0.171936,0.153093,-10.96,1,ok,ok,,sf1
tpch,DJANGO,Q01,Pricing Summary Report,Oracle,Indexed,1,4.162422,4.696338,13.06,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q01,Pricing Summary Report,Oracle,Indexed,1,4.107355,4.781543,15.92,4,ok,ok,,sf1
tpch,DJANGO,Q02,Minimum Cost Supplier,Oracle,Indexed,1,0.031314,0.092626,197.84,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q02,Minimum Cost Supplier,Oracle,Indexed,1,0.032076,0.053153,65.65,100,ok,ok,,sf1
tpch,DJANGO,Q03,Shipping Priority,Oracle,Indexed,1,1.243881,1.114563,-10.38,10,ok,ok,,sf1
tpch,SQLALCHEMY,Q03,Shipping Priority,Oracle,Indexed,1,1.114002,1.146327,2.9,10,ok,ok,,sf1
tpch,DJANGO,Q04,Order Priority Checking,Oracle,Indexed,1,1.12934,0.615314,-45.51,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q04,Order Priority Checking,Oracle,Indexed,1,1.10665,1.118271,1.14,5,ok,ok,,sf1
tpch,DJANGO,Q05,Local Supplier Volume,Oracle,Indexed,1,1.537381,1.083225,-29.66,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q05,Local Supplier Volume,Oracle,Indexed,1,1.522496,1.536519,1.16,5,ok,ok,,sf1
tpch,DJANGO,Q06,Forecasting Revenue Change,Oracle,Indexed,1,0.741966,0.697293,-5.64,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q06,Forecasting Revenue Change,Oracle,Indexed,1,0.696528,0.695526,0.57,1,ok,ok,,sf1
tpch,DJANGO,Q07,Volume Shipping,Oracle,Indexed,1,1.267054,1.274077,0.52,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q07,Volume Shipping,Oracle,Indexed,1,1.270263,1.273869,0.31,4,ok,ok,,sf1
tpch,DJANGO,Q08,National Market Share,Oracle,Indexed,1,1.123838,1.129486,0.5,2,ok,ok,,sf1
tpch,SQLALCHEMY,Q08,National Market Share,Oracle,Indexed,1,1.12817,1.127932,-0.05,2,ok,ok,,sf1
tpch,DJANGO,Q09,Product Type Profit Measure,Oracle,Indexed,1,2.276902,3.943551,75.62,175,ok,ok,,sf1
tpch,SQLALCHEMY,Q09,Product Type Profit Measure,Oracle,Indexed,1,2.315551,2.355272,1.77,175,ok,ok,,sf1
tpch,DJANGO,Q10,Returned Item Reporting,Oracle,Indexed,1,0.951467,0.956915,0.36,20,ok,ok,,sf1
